Date, ISIN, Scrip Name, NSE Symbol, MWPL, NSE Open Interest
03-JAN-2017,INE692A01016,UNION BANK OF INDIA,UNIONBANK,50266904,26288000
03-JAN-2017,INE326A01037,LUPIN LIMITED,LUPIN,48056576,5004400
03-JAN-2017,INE036A01016,RELIANCE INFRASTRUCTU LTD,RELINFRA,25661014,9088300
03-JAN-2017,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,54083602,12541900
03-JAN-2017,INE049B01025,WOCKHARDT LIMITED,WOCKPHARMA,5684585,3898800
03-JAN-2017,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282405919,74403000
03-JAN-2017,INE733E01010,NTPC LTD,NTPC,498941046,16840000
03-JAN-2017,INE213A01029,OIL AND NATURAL GAS CORP.,ONGC,797344158,36390000
03-JAN-2017,INE115A01026,LIC HOUSING FINANCE LTD,LICHSGFIN,60244101,11800800
03-JAN-2017,INE012A01025,ACC LIMITED,ACC,18652428,1420000
03-JAN-2017,INE151A01013,TATA COMMUNICATIONS LTD,TATACOMM,14253357,5269600
03-JAN-2017,INE018A01030,LARSEN & TOUBRO LTD.,LT,182559065,9508000
03-JAN-2017,INE361B01024,DIVI'S LABORATORIES LTD,DIVISLAB,25451469,5665800
03-JAN-2017,INE814H01011,ADANI POWER LTD,ADANIPOWER,245854775,135200000
03-JAN-2017,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,30199543,2583700
03-JAN-2017,INE868B01028,NCC LIMITED,NCC,88700768,15056000
03-JAN-2017,INE318A01026,PIDILITE INDUSTRIES LTD,PIDILITIND,31180379,1664000
03-JAN-2017,INE216A01022,BRITANNIA INDUSTRIES LTD,BRITANNIA,11825583,1108600
03-JAN-2017,INE503A01015,DCB BANK LIMITED,DCBBANK,47706858,2025000
03-JAN-2017,INE910H01017,CAIRN INDIA LIMITED,CAIRN,150598427,23191000
03-JAN-2017,INE749A01030,JINDAL STEEL & POWER LTD,JINDALSTEL,69721409,54117000
03-JAN-2017,INE094A01015,HINDUSTAN PETROLEUM CORP,HINDPETRO,99330300,25773300
03-JAN-2017,INE030A01027,HINDUSTAN UNILEVER LTD.,HINDUNILVR,141972365,6044400
03-JAN-2017,INE034A01011,ARVIND LIMITED,ARVIND,29058112,8500000
03-JAN-2017,INE129A01019,GAIL (INDIA) LTD,GAIL,108951958,6327000
03-JAN-2017,INE280A01028,TITAN COMPANY LIMITED,TITAN,83355648,10681500
03-JAN-2017,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,45583448,8500500
03-JAN-2017,INE003A01024,SIEMENS LTD,SIEMENS,17805517,791500
03-JAN-2017,INE271C01023,DLF LIMITED,DLF,89368945,57470000
03-JAN-2017,INE242A01010,INDIAN OIL CORP LTD,IOC,405176781,20358000
03-JAN-2017,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,337875839,54263000
03-JAN-2017,INE192A01025,TATA GLOBAL BEVERAGES LTD,TATAGLOBAL,78143609,29083500
03-JAN-2017,INE148I01020,INDIABULLS HSG FIN LTD,IBULHSGFIN,63336538,13743200
03-JAN-2017,INE721A01013,SHRIRAM TRANSPORT FIN CO.,SRTRANSFIN,33555914,3508800
03-JAN-2017,INE092A01019,TATA CHEMICALS LTD,TATACHEM,35256784,4567500
03-JAN-2017,INE191I01012,HOUSING DEV & INFRA LTD,HDIL,55096915,37352000
03-JAN-2017,INE020B01018,RURAL ELEC CORP. LTD.,RECLTD,155476528,30138000
03-JAN-2017,INE776C01039,GMR INFRASTRUCTURE LTD.,GMRINFRA,463433632,192645000
03-JAN-2017,INE121E01018,JSW ENERGY LIMITED,JSWENERGY,82002830,37680000
03-JAN-2017,INE084A01016,BANK OF INDIA,BANKINDIA,47308200,29952000
03-JAN-2017,INE686F01025,UNITED BREWERIES LTD,UBL,13816721,1071000
03-JAN-2017,INE775A01035,MOTHERSON SUMI SYSTEMS LT,MOTHERSUMI,103569882,10195000
03-JAN-2017,INE093A01033,HEXAWARE TECHNOLOGIES LTD,HEXAWARE,17192082,4683000
03-JAN-2017,INE647A01010,SRF LTD,SRF,5468800,467500
03-JAN-2017,INE066A01013,EICHER MOTORS LTD,EICHERMOT,2687179,234325
03-JAN-2017,INE010B01027,CADILA HEALTHCARE LIMITED,CADILAHC,51610474,3243200
03-JAN-2017,INE886H01027,TV18 BROADCAST LIMITED,TV18BRDCST,135768011,89114000
03-JAN-2017,INE205A01025,VEDANTA LIMITED,VEDL,220189602,54033000
03-JAN-2017,INE154A01025,ITC LTD,ITC,2416891119,48103200
03-JAN-2017,INE599M01018,JUSTDIAL LTD.,JUSTDIAL,9292375,5497200
03-JAN-2017,INE238A01034,AXIS BANK LIMITED,AXISBANK,319829359,34881600
03-JAN-2017,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,29338218,1483500
03-JAN-2017,INE202B01012,DEWAN HOUSING FIN CORP LT,DHFL,37995668,21747000
03-JAN-2017,INE274J01014,OIL INDIA LTD,OIL,38903089,1667700
03-JAN-2017,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,151241250,14027500
03-JAN-2017,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,16377009,585600
03-JAN-2017,INE465A01025,BHARAT FORGE LTD,BHARATFORG,24793439,5335200
03-JAN-2017,INE141A01014,ORIENTAL BANK OF COMMERCE,ORIENTBANK,24507940,17598000
03-JAN-2017,INE001A01036,HDFC LTD,HDFC,316796738,12374500
03-JAN-2017,INE031B01049,AJANTA PHARMA LIMITED,AJANTPHARM,4614298,400000
03-JAN-2017,INE134E01011,POWER FIN CORP LTD.,PFC,170046535,18432000
03-JAN-2017,INE175A01038,JAIN IRRIGATION SYSTEMS,JISLJALEQS,63633950,43632000
03-JAN-2017,INE376G01013,BIOCON LIMITED.,BIOCON,15004812,3344400
03-JAN-2017,INE257A01026,BHEL,BHEL,180829600,45780000
03-JAN-2017,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,54990504,19728000
03-JAN-2017,INE383A01012,THE INDIA CEMENTS LIMITED,INDIACEM,43350664,34219500
03-JAN-2017,INE203G01019,INDRAPRASTHA GAS LTD,IGL,15400016,2587200
03-JAN-2017,INE434A01013,ANDHRA BANK,ANDHRABANK,47000000,23540000
03-JAN-2017,INE237A01028,KOTAK MAHINDRA BANK LTD,KOTAKBANK,243819129,9396000
03-JAN-2017,INE233A01035,GODREJ INDUSTRIES LTD,GODREJIND,16960663,1473000
03-JAN-2017,INE683A01023,THE SOUTH INDIAN BANK LTD,SOUTHBANK,270123332,51210000
03-JAN-2017,INE028A01039,BANK OF BARODA,BANKBARODA,187843804,47953500
03-JAN-2017,INE476A01014,CANARA BANK,CANBK,36600000,21066000
03-JAN-2017,INE226A01021,VOLTAS LTD,VOLTAS,46126252,5474000
03-JAN-2017,INE059A01026,CIPLA LTD,CIPLA,98512283,6524000
03-JAN-2017,INE455I01029,KAVERI SEED CO. LTD.,KSCL,5870469,2449500
